"category","register","size","datatype","description_en","description_de","ha_sensor_name","unit","min_max","display_code","scaling_factor","source","rw_spec","rw_implemented"
"System Discovery","174","1","uint16","Board 8 hardware version","Platine 8 Hardwareversion","board8_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","175","2","uint32","Board 8 article number","Platine 8 Artikelnummer","board8_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","177","1","uint16","Board 9 device type","Platine 9 Gerätetyp","board9_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","178","1","uint16","Board 9 software version","Platine 9 Softwareversion","board9_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","179","1","uint16","Board 9 config table version","Platine 9 Konfigurationstabellenversion","board9_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","180","1","uint16","Board 9 hardware version","Platine 9 Hardwareversion","board9_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","181","2","uint32","Board 9 article number","Platine 9 Artikelnummer","board9_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","183","1","uint16","Board 10 device type","Platine 10 Gerätetyp","board10_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","184","1","uint16","Board 10 software version","Platine 10 Softwareversion","board10_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","185","1","uint16","Board 10 config table version","Platine 10 Konfigurationstabellenversion","board10_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","186","1","uint16","Board 10 hardware version","Platine 10 Hardwareversion","board10_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","187","2","uint32","Board 10 article number","Platine 10 Artikelnummer","board10_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","189","1","uint16","Zones detected","Erkannte Heizkreise","zone_count","","0-65535","mdi:counter","","GTW-08 spec","R","R"
"System Discovery","190","1","uint16","Disabled zones","Deaktivierte Heizkreise","zones_disabled","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","191","1","uint16","CH zones","Heizkreise (nur Heizung)","zones_ch","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","192","1","uint16","CH + cooling zones","Heiz-/Kühlkreise","zones_ch_cooling","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","193","1","uint16","DHW zones","TWW-Kreise","zones_dhw","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","194","1","uint16","Process heat zones","Prozesswärme-Kreise","zones_process_heat","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","195","1","uint16","Swimming pool zones","Schwimmbad-Kreise","zones_swimming_pool","","0-65535","mdi:counter","","German parameter list","R","R"
"System Discovery","196","1","uint16","Other zones","Sonstige Kreise","zones_others","","0-65535","mdi:counter","","German parameter list","R","R"
"Main Controller Monitoring","256","1","uint16","Control power setpoint","Steuerung Leistungssollwert","control_power","%","0-65535","mdi:gauge","","GTW-08 spec","R/W","R"
"Main Controller Monitoring","257","1","uint16","Control temperature setpoint","Steuerung Temperatursollwert","control_temperature","°C","0-65535","","0.01","GTW-08 spec","R/W","R"
"Main Controller Monitoring","258","1","uint16","Control algorithm type (0=Remote temperature and power; 1=Remote power; 2=Remote temperature; 3=Monitoring only)","Steuerung Algorithmustyp (0=Fernsteuerung Temperatur und Leistung; 1=Fernsteuerung Leistung; 2=Fernsteuerung Temperatur; 3=Nur Überwachung)","control_algorithm_type","","0-65535","mdi:cog-outline","","GTW-08 spec","R/W","R"
"Main Controller Monitoring","259","1","uint16","Control heat demand type (0=Standby; 7=Heating; 8=Cooling)","Steuerung Wärmeanforderungstyp (0=Bereitschaft; 7=Heizen; 8=Kühlen)","control_heat_demand_type","","0-65535","mdi:fire-circle","","GTW-08 spec","R/W","R"
"Main Controller Monitoring","272","1","uint16","System power","Systemleistung","system_power","%","0-65535","mdi:gauge","","GTW-08 spec","R","R"
"Main Controller Monitoring","273","1","int16","Flow temperature (CU)","Vorlauftemperatur (CU)","cu_flow_temperature","°C","-32768-32767","","0.01","German parameter list","R","R"
"Main Controller Monitoring","274","1","int16","Return temperature (CU)","Rücklauftemperatur (CU)","cu_return_temperature","°C","-32768-32767","","0.01","German parameter list","R","R"
"Main Controller Monitoring","275","1","bool (bit 4)","Cooling allowed [bit 4]","Kühlen erlaubt [Bit 4]","demand_cooling_allowed","","0-1","mdi:snowflake","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 5)","DHW circuits allowed [bit 5]","TWW-Kreise freigegeben [Bit 5]","demand_dhw_allowed","","0-1","mdi:water-boiler","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 0)","Direct zones allowed [bit 0]","Ungemischte Kreise freigegeben [Bit 0]","demand_direct_zones","","0-1","mdi:radiator","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 6)","Heat engine active [bit 6]","Brennereinheit aktiv [Bit 6]","demand_heat_engine_active","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 3)","Manual heat demand [bit 3]","Manuelle Wärmeanforderung [Bit 3]","demand_manual_heat","","0-1","mdi:hand-back-right","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 1)","Mixing circuits allowed [bit 1]","Mischerkreise freigegeben [Bit 1]","demand_mixing_circuits","","0-1","mdi:valve","","GTW-08 spec","R","R"
"Main Controller Monitoring","275","1","bool (bit 2)","Valves open / pump running (safety) [bit 2]","Alle Ventile offen / Pumpe läuft (Sicherheit) [Bit 2]","demand_valves_open_safety","","0-1","mdi:valve-open","","GTW-08 spec","R","R"
"Main Controller Monitoring","277","1","uint16","error_list","error_list","error_list","","0-65535","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 2)","Electrical backup 1 on [bit 2]","Elektrischer Zusatzerzeuger 1 ein [Bit 2]","status_backup1_on","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 3)","Electrical backup 2 on [bit 3]","Elektrischer Zusatzerzeuger 2 ein [Bit 3]","status_backup2_on","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 4)","DHW electrical backup on [bit 4]","Elektrischer TWW-Zusatzerzeuger ein [Bit 4]","status_dhw_backup_on","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 0)","Flame on [bit 0]","Flamme an [Bit 0]","status_flame_on","","0-1","mdi:fire","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 1)","Heat pump on [bit 1]","Wärmepumpe ein [Bit 1]","status_heat_pump_on","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 6)","Power down / reset needed [bit 6]","Abschaltung / Reset erforderlich [Bit 6]","status_power_down_needed","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 5)","Service required [bit 5]","Wartung erforderlich [Bit 5]","status_service_required","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","279","1","bool (bit 7)","Water pressure low [bit 7]","Wasserdruck niedrig [Bit 7]","status_water_pressure_low","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 2)","3-way valve [bit 2]","Dreiwegeventil [Bit 2]","output_3way_valve","","0-1","mdi:valve","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 3)","3-way valve closed [bit 3]","Dreiwegeventil geschlossen [Bit 3]","output_3way_valve_closed","","0-1","mdi:valve-closed","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 1)","3-way valve open [bit 1]","Dreiwegeventil offen [Bit 1]","output_3way_valve_open","","0-1","mdi:valve-open","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 5)","CH active [bit 5]","HZG aktiv [Bit 5]","output_ch_active","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 6)","Cooling active [bit 6]","Kühlung aktiv [Bit 6]","output_cooling_active","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 4)","DHW active [bit 4]","TWW aktiv [Bit 4]","output_dhw_active","","0-1","","","GTW-08 spec","R","R"
"Main Controller Monitoring","280","1","bool (bit 0)","Pump [bit 0]","Pumpe [Bit 0]","output_pump","","0-1","","","GTW-08 spec","R","R"
"Appliance - Temperatures","384","1","int16","Outside temperature","Außentemperatur","outside_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Temperatures","385","1","uint16","Seasonal mode (0=Winter; 1=Frost protection; 2=Summer neutral band; 3=Summer)","Jahreszeitenbetrieb (0=Winter; 1=Frostschutz; 2=Übergangszeit; 3=Sommer)","seasonal_mode","","0-65535","mdi:weather-partly-cloudy","","GTW-08 spec","R","R"
"Appliance - Temperatures","386","1","uint16","Summer/winter switchover temperature","Sommer/Winter-Umschalttemperatur","summer_winter_threshold","°C","0-65535","mdi:thermometer-lines","0.01","German parameter list","R/W","R"
"Appliance - Temperatures","387","1","uint16","Neutral band summer/winter","Neutralband Sommer/Winter","neutral_band","°C","0-65535","mdi:thermometer-lines","0.01","German parameter list","R/W","R"
"Appliance - Temperatures","388","1","int16","Frost protection outdoor temperature","Frostschutz-Außentemperatur","frost_protection_threshold","°C","-32768-32767","mdi:snowflake-thermometer","0.01","German parameter list","R/W","R"
"Appliance - Temperatures","389","1","uint16","Force summer mode (0=Off; 1=On)","Sommerbetrieb erzwingen (0=Aus; 1=Ein)","force_summer_mode","","0-65535","mdi:weather-sunny","","German parameter list","R/W","R"
"Appliance - Measurements","400","1","int16","Flow temperature","Vorlauftemperatur","flow_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","401","1","int16","Return temperature","Rücklauftemperatur","return_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","402","1","int16","Exhaust gas temperature","Abgastemperatur","exhaust_gas_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","403","1","int16","Heat pump flow temperature","Vorlauftemperatur Wärmepumpe","hp_flow_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","404","1","int16","Heat pump return temperature","Rücklauftemperatur Wärmepumpe","hp_return_temperature","°C","-32768-32767","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","405","1","uint16","Internal DHW setpoint","Interner TWW-Sollwert","internal_dhw_setpoint","°C","0-65535","mdi:water-thermometer","0.01","German parameter list","R","R"
"Appliance - Measurements","406","1","uint16","CH system setpoint","Heizungssollwert","ch_setpoint","°C","0-65535","mdi:thermostat","0.01","German parameter list","R","R"
"Appliance - Measurements","407","1","uint16","Cooling flow setpoint","Kühlsollwert Vorlauftemperatur","cooling_setpoint","°C","0-65535","mdi:snowflake-thermometer","0.01","German parameter list","R","R"
"Appliance - Measurements","408","1","uint16","DHW flow setpoint","Vorlauftemperatur-Sollwert TWW","dhw_flow_setpoint","°C","0-65535","","0.01","GTW-08 spec","R","R"
"Appliance - Measurements","409","1","uint16","Water pressure","Wasserdruck","water_pressure","bar","0-65535","","0.1","GTW-08 spec","R","R"
"Appliance - Measurements","410","1","uint16","Flow rate","Durchfluss","flow_rate","l/min","0-65535","mdi:water-pump","0.01","German parameter list","R","R"
"Appliance - Measurements","411","1","uint16","Main status (0=Standby; 1=Heat demand; 2=Generator start; 3=Generator CH; 4=Generator DHW; 5=Generator stop; 6=Pump post run; 7=Cooling active; 8=Controlled stop; 9=Blocking mode; 10=Locking mode; 11=Load test min; 12=Load test CH max; 13=Load test DHW max; 15=Manual heat demand; 16=Frost protection; 17=Deaeration; 18=Control unit cooling; 19=Reset in progress; 20=Auto filling; 21=Halted; 22=Forced calibration; 23=Factory test; 24=Hydronic balancing; 200=Device mode; 254=Unknown)","Hauptstatus (0=Standby; 1=Wärmeanforderung; 2=Erzeugerstart; 3=Erzeuger HZG; 4=Erzeuger TWW; 5=Erzeugerstopp; 6=Nachlauf Pumpe; 7=Kühlbetrieb; 8=Regelabschaltung; 9=Startverhinderung; 10=Verriegelungsmodus; 11=Lasttest min.; 12=Lasttest HZG max.; 13=Lasttest TWW max.; 15=Manuelle Wärmeanf.; 16=Kesselfrostschutz; 17=Entlüftung; 18=Regelungseinh. Kühlen; 19=Zurücksetzen läuft; 20=Autom. Befüllung; 21=Angehalten; 22=Kalibrierung; 23=Werkstest; 24=Hydr. Abgleich; 200=Gerätemodus; 254=Unbekannt)","main_status","","0-65535","mdi:information-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","412","1","uint16","Sub status (0=Standby; 1=Anti-cycling; 2=Close hydraulic valve; 3=Close pump; 4=Waiting for start conditions; 10=Close ext. gas valve; 11=Start to glue gas valve; 12=Close flue gas valve; 13=Fan to pre-purge; 14=Wait for release signal; 15=Burner on command; 16=VPS test; 17=Pre-ignition; 18=Ignition; 19=Flame check; 20=Interpurge; 21=Generator starting; 30=Normal internal setpoint; 31=Limited internal setpoint; 32=Normal power control; 33=Gradient level 1 power control; 34=Gradient level 2 power control; 35=Gradient level 3 power control; 36=Protect flame power control; 37=Stabilization time; 38=Cold start; 39=CH resume; 40=SU remove burner; 41=Fan to post-purge; 42=Open ext. flue gas valve; 43=Stop fan to flue GV RPM; 44=Stop fan; 45=Limited power on flue gas temp; 46=Auto filling installation; 47=Auto filling top up; 48=Reduced setpoint; 49=Offset adaption; 60=Pump post running; 61=Open pump; 62=Open hydraulic valve; 63=Start anti-cycle time; 65=Compressor relieved; 66=HP Tmax, backup on; 67=Outdoor limit, HP off; 68=HP stop by hybrid; 69=Defrost with HP; 70=Defrost with backup; 71=Defrost HP backup; 72=Source pump backup; 73=HP flow over Tmax; 74=Source pump post run; 75=HP off, high humidity; 76=HP off, water flow; 78=Humidity setpoint; 79=Generators relieved; 80=HP relieved cooling; 81=HP stop outdoor temp; 82=HP off, flow Tmax; 83=Deair pump valve CH; 84=Deair pump valve DHW; 85=Deair valve CH; 86=Deair valve DHW; 88=BL backup off; 89=BL HP off; 90=BL HP backup off; 91=Low tariff; 92=PV with HP; 93=PV HP and backup; 94=Smart grid; 95=Waiting for water pressure; 96=No producer available; 97=Increased min power; 98=Decreased max power; 102=Free cool pump off; 103=Free cool pump on; 104=Source pump pre-run; 105=Calibration; 106=Blocking active; 107=Warm up; 108=Defrost curative; 109=Defrost preventive; 200=Initialising done; 201=Initialising CSU; 202=Init identifiers; 203=Init BL parameter; 204=Init safety unit; 205=Init blocking; 254=State unknown; 255=SU out of resets, wait 1h)","Substatus (0=Standby; 1=Pausenzeit; 2=Schließe Hydr.Ventil; 3=Stop Pumpe; 4=Warte auf Startfreig.; 10=Ext.Gasvent.schließ.; 11=Start Brenner; 12=Schließe Abgasvent.; 13=Vorbelüftung; 14=Wartet Freigabesig.; 15=BrennerEinBefehl an SE; 16=VPS-Prüfung; 17=Vorzündung; 18=Zündung; 19=Sicherheitszeit; 20=Zwischenbelüftung; 21=Erzeuger startet; 30=Interner Sollwert; 31=Begr. int. Sollwert; 32=Leistungsgeregelt; 33=GradStufe1 Leist.-Reg.; 34=GradStufe2 Leist.-Reg.; 35=GradStufe3 Leist.-Reg.; 36=Flammsch. Leist.-Reg.; 37=Stabilisierungszeit; 38=Kaltstart; 39=Heizung fortsetzen; 40=Stop Brenner; 41=Gebläsenachlauf; 42=Ext.Abgasvent.öffnen; 43=Stop Gebläse Drehzahl; 44=Stop Gebläse; 45=Leist.begr. Abgastemp.; 46=AutoBefüll. Install.; 47=Auto-Nachbefüllung; 48=Reduzierter Sollwert; 49=Anpass. Verschiebung; 60=Pumpennachlauf; 61=Start Pumpe; 62=Hydr.Ventil öffnen; 63=Pausenzeit starten; 65=Verdichter entlastet; 66=WP Tmax Zusatz ein; 67=Grenze AußenT WP aus; 68=WP-Stopp durch Hybrid; 69=Abtauen mit WP; 70=Abtauen mit ZusErz.; 71=Abtauen WP ZusErz.; 72=Quellenpumpe ZusErz.; 73=WP Vorlauf über Tmax; 74=Nachlauf QuellPumpe; 75=WP aus hohe Feuchte; 76=WP aus Durchfluss; 78=Sollwert Luftfeuchte; 79=Erzeuger entlastet; 80=WP entlastet Kühlung; 81=WP Stopp Außentemp.; 82=WP aus Vorlauf Tmax; 83=Entl. Pump Vent. HZG; 84=Entl. Pump Vent. TWW; 85=Entlüft. Ventil HZG; 86=Entlüft. Ventil TWW; 88=BL Zusatzerz. aus; 89=BL WP aus; 90=BL WP Zusatzerz. aus; 91=Niedertarif; 92=PV mit WP; 93=PV WP und Zusatzerz.; 94=Smart Grid (SG); 95=Warte a. Wasserdruck; 96=Kein Erzeuger verfügb.; 97=Min. Leistung erhöht; 98=Max. Leist. verringert; 102=Fr.Kühlung Pumpe aus; 103=Fr.Kühlung Pumpe ein; 104=Vorlauf QuellPumpe; 105=Kalibrierung; 106=Sperrung aktiv; 107=Aufwärmen; 108=Kurative Abtauung; 109=Präventive Abtauung; 200=Initialisierung erl.; 201=Initialisierung CSU; 202=Init. Identifikat.; 203=Init. Sperr-Parameter; 204=Init. Sicherh.einr.; 205=Init. Sperrung; 254=Status unbekannt; 255=SU Auss. Rücks. Wart. 1h)","sub_status","","0-65535","mdi:information-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","413","1","uint16","Relative power","Relative Leistung","relative_power","%","0-65535","mdi:gauge","","GTW-08 spec","R","R"
"Appliance - Measurements","414","1","uint16","Power setpoint","Leistungssollwert","power_setpoint","%","0-65535","mdi:gauge","0.1","German parameter list","R","R"
"Appliance - Measurements","415","1","uint16","Ionization current","Ionisationsstrom","ionization_current","µA","0-65535","mdi:flash","0.1","GTW-08 spec","R","R"
"Appliance - Measurements","419","2","uint32","Total starts","Erzeugerstarts gesamt","total_starts","","0-4294967295","mdi:counter","","GTW-08 spec","R","R"
"Appliance - Measurements","421","2","uint32","Total operating hours","Betriebsstunden gesamt","total_operating_hours","h","0-4294967295","mdi:clock-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","423","2","uint32","Backup 1 starts","Starts Zusatzerzeuger 1","backup1_starts","","0-4294967295","mdi:counter","","GTW-08 spec","R","R"
"Appliance - Measurements","425","2","uint32","Backup 1 operating hours","Betriebsstunden Zusatzerzeuger 1","backup1_operating_hours","h","0-4294967295","mdi:clock-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","427","2","uint32","Backup 2 starts","Starts Zusatzerzeuger 2","backup2_starts","","0-4294967295","mdi:counter","","GTW-08 spec","R","R"
"Appliance - Measurements","429","2","uint32","Backup 2 operating hours","Betriebsstunden Zusatzerzeuger 2","backup2_operating_hours","h","0-4294967295","mdi:clock-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","431","2","uint32","Mains power hours","Netzstrom-Betriebsstunden","mains_power_hours","h","0-4294967295","mdi:clock-outline","","GTW-08 spec","R","R"
"Appliance - Measurements","433","2","uint32","Energy consumed CH","Energieverbrauch Heizung","energy_consumed_ch","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance - Measurements","435","2","uint32","Energy consumed DHW","Energieverbrauch TWW","energy_consumed_dhw","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance - Measurements","437","2","uint32","Energy consumed cooling","Energieverbrauch Kühlung","energy_consumed_cooling","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","439","2","uint32","Total energy consumed","Gesamtenergieverbrauch","total_energy_consumed","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","441","2","uint32","Energy consumed backup","Energieverbrauch Zusatzerzeuger","energy_consumed_backup","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","443","2","uint32","Total thermal energy delivered","Gelieferte thermische Energie gesamt","total_thermal_delivered","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","445","2","uint32","Thermal energy delivered CH","Gelieferte thermische Energie Heizung","thermal_delivered_ch","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","447","2","uint32","Thermal energy delivered DHW","Gelieferte thermische Energie TWW","thermal_delivered_dhw","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","449","2","uint32","Thermal energy delivered cooling","Gelieferte thermische Energie Kühlung","thermal_delivered_cooling","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","451","2","uint32","Energy delivered backup","Gelieferte Energie Zusatzerzeuger","energy_delivered_backup","kWh","0-4294967295","","","GTW-08 spec","R","R"
"Appliance","459","1","uint16","Pump speed","Pumpendrehzahl","pump_speed","%","0-65535","mdi:pump","0.1","GTW-08 spec","R","R"
"Appliance","460","2","uint32","Actual power","Aktuelle Leistung","actual_power","kW","0-4294967295","","0.01","GTW-08 spec","R","R"
"Appliance - Control","500","1","uint16","Central heating enabled (0=Off; 1=On)","Heizung erlaubt (0=Aus; 1=Ein)","ch_enabled","","0-65535","mdi:radiator","","German parameter list","R/W","R"
"Appliance - Control","501","1","uint16","DHW enabled (0=Off; 1=On)","Warmwasserbereitung erlaubt (0=Aus; 1=Ein)","dhw_enabled","","0-65535","mdi:water-boiler","","German parameter list","R/W","R"
"Appliance - Control","502","1","uint16","Cooling enabled (0=Off; 1=Active cooling; 2=Free cooling)","Kühlung erlaubt (0=Aus; 1=Aktive Kühlung; 2=Freie Kühlung)","cooling_enabled","","0-65535","mdi:snowflake","","German parameter list","R/W","R"
"Appliance - Control","503","1","uint16","Cooling forced (0=Off; 1=On)","Kühlung erzwingen (0=Aus; 1=Ein)","cooling_forced","","0-65535","mdi:snowflake-alert","","German parameter list","R/W","R"
"Service","512","1","uint16","Service required","Wartung erforderlich","service_required","","0-65535","","","GTW-08 spec","R","R"
